video_info,entities_prediction
"<НАЗВАНИЕ:> БОЕЦ БЕЗ ПРАВИЛ, ТРЕЙЛЕР на русском, фильм 2021| боевик, MMA <ОПИСАНИЕ:>Больше информации в нашей группе ВК: <LINK> Русский трейлер фильма БОЕЦ БЕЗ ПРАВИЛ 2021 г 🎬 Боец без правил (2021) русский трейлер Notorious Nick (2021)/ США драма, боевик Дата выхода: 7 августа 2021 г (мир) 2 сентября 2021 г (Россия) Ник Ньюэлл, однорукий боец ММА, получает редкую возможность принять участие в чемпионате. Герой жаждет победить не только ради себя, но и ради людей со всего мира, которым знакомы физические трудности. Режиссер: Аарон Леонг Актёры: Элизабет Рём, Кевин Поллак, Коди Кристиан, Бэрри Ливингстон, Энтони Сноу, Сэмюэл Ивэн Хоровиц, Конлан Кисилевич, Марк С. Аллен, Эрик Йорн Сундквист #Боецбезправил #фильм2021 #русскийтрейлер #боиММА","['O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Дата', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'B-Дата', 'I-Дата', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'B-Дата', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'O', 'B-Дата', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Дата', 'I-Дата', 'I-Дата', 'I-Дата', 'O', 'O', 'O', 'B-Дата', 'I-Дата', 'I-Дата', 'I-Дата', 'O', 'B-локация', 'O', 'B-персона', 'I-персона', 'O', 'O', 'O', 'B-вид спорта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-персона', 'I-персона', 'O', 'O', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'O', 'B-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'I-персона', 'I-персона', 'B-персона', 'I-персона', 'I-персона', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> ШОК! КАК ЖЕ ЭТОМУ БОМЖУ ВЕЗЕТ В Brawl Stars ОЧЕРЕДНОЕ ОТКРЫТИЕ СУНДУКОВ <ОПИСАНИЕ:>Проект путь Бомжа в Бравл Старс, смотрите как же везет на этом Аккаунте, открыл сундук и выпал новый бравлер Brawl Stars Крутые ПЛЮШКИ: <LINK> Для коммерческих запросов: <AT> Для личных обращений: <AT> Любишь смотреть Бравл Старс тут все серии: <LINK> Ждешь новых видео по БРАВЛ СТАРС ПОДПИШИСЬ <LINK> Жми и Подписывайся! Канал где я снимаю с ВЭБКОЙ: <LINK> Тут можно общаться со мной 24 часа: <LINK> Самые ПЛОХИЕ ФОТКИ в Инстаграм: <LINK>/ Тут ОЧЕНЬ интересно: <LINK> Напиши МНЕ ВКонтакте: <LINK> Моя группа в Roblox <LINK> Крутая Одежда в Роблокс как у меня: <LINK> Funny Games TV#!/store #BrawlStars #fgtv #ПутьБомжа","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
<НАЗВАНИЕ:> ДРЕВНИЕ РОБОТЫ NATASHA TALON И LEO CLAW ПРОТИВ АМЕРИКАНСКОГО КЛАНА RINO MK3 В ГОЛОСЕ WAR ROBOTS 2022 <ОПИСАНИЕ:>Играть В WAR ROBOTS: <LINK> ТЕЛЕГРАМ WR COMMANDER <LINK> подписывайтесь чтобы не потеряться ! ПОДДЕРЖАТЬ КАНАЛ АВТОРА: я благодарен вашей поддержке всем добра и мира: donation : <LINK> КАРТА СБЕРБАНКА CARD SBERBANK 4276 3800 9965 6725 моя РЕЗЕРВНАЯ стримерская платформа: живые стрим конкурсы <LINK> моя группа ВК : обсуждения и конкурсы <LINK> канал WR Commander на яндекс дзен озвученные обзоры <LINK> мой канал WR Commander на РУТУБЕ <LINK>/ моя ТВОРЧЕСКАЯ группа VK <LINK> мой ТВОРЧЕСКИЙ канал на рутуб <LINK>/ мой ТВОРЧЕСКИЙ канал на яндекс дзен <LINK> МОЙ ТВОРЧЕСКИЙ ТЕЛЕГРАМ <LINK> #warrobots #варроботс #wrcommander,"['O', 'O', 'O', 'O', 'O', 'O', 'B-персона', 'I-персона', 'O', 'B-персона', 'I-персона', 'O', 'O', 'O', 'B-бренд', 'I-модель', 'I-модель', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'B-Дата', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'I-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> ЖЕНА ПУТЕШЕСТВЕННИКА ВО ВРЕМЕНИ = СМОТРИМ ОБЗОР ВМЕСТЕ <ОПИСАНИЕ:> Если понравилось ставьте ракетку 🚀 Если смотрел(а) напиши комментарий: ""Как тебе?"" Трейлер тут: <LINK> Шоу ""Без слов"" <LINK>/ #шоуспашей #папаянчика #женапутешественникавовремени #обзорсериалов #сериалы #сериалсвысокимрейтингом #лучшиесериалы2022","['O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> Кинозал ДК приглашает на мультфильм ""Потеряшки и Тайна волшебной пирамиды"", 6+, 80 мин. #кинозалДКям <ОПИСАНИЕ:>Кинозал ДК Гаврилов Ямского МР приглашает с 31 марта на мультфильм ""Потеряшки и Тайна волшебной пирамиды"", 6+, 80 мин. Стоимость билетов 100 220 руб. НЕ ЗАБУДЬТЕ ВЗЯТЬ С СОБОЙ МАСКУ! <AT> #кинозалДКям #ПотеряшкииТайнаВолшебнойПирамиды Время показа и покупку билетов на этот фильм уточняйте и совершайте на нашем сайте с 29 марта <LINK> dk gav yam.ru Наш ютубканал <LINK> Наш рутьюбканал <LINK>/","['O', 'O', 'O', 'O', 'O', 'I-организация', 'O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-локация', 'I-локация', 'I-локация', 'I-локация', 'O', 'O', 'B-Дата', 'I-Дата', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Дата', 'I-Дата', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> КАК НАЙТИ НАСТОЯЩЕГО НУБИКА В МАЙНКРАФТЕ!? ТРОЛлИНГ ПРЯТКИ В minecraft! Ярик Кент, клоны нуба майн! <ОПИСАНИЕ:>Если понравилось видео, то не забудь поставить лайк и оформить подписку!) Плейлисты с видео: <LINK> Где меня найти еще ? 💎Страница в Vk <LINK> 💎Группа в Vk <LINK> 💎TikToK <LINK> 💎NST <LINK> 💎2 Канал <LINK> Правила в комментариях: 1) Желательно не спамить 2) Жить дружно 3) Без пиара каналов и чего либо еще 4) Уважайте друг друга #minecaft #майнкрафт #ярикент #нуб #про","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'O', 'O', 'O', 'O', 'O', 'B-видеоигра', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> ""КАК ЖЕ ОНИ БАЙТЯТ"" = НИДИН ВЕРНУЛСЯ В ТАНКИ / КУПИЛ AMX 50 120 / АККАУНТ БЕЗ ДОНАТА #123 <ОПИСАНИЕ:>#nidin #нидин #аккаунтбездоната #wot #миртанков #worldoftanks #прокачка #подгорел #турнир #об907 #ат8 #БРИТАНСКИЕпТ #centurion1 #comet #арта #fv207 #обновление120 #т55а #карачун #ОБ416 #об430 #к91 #fv4005 #бабаха #GRILE15 #FV3805 #СУ76М #СУ85 #су100 #су100м1 #САУ15 #натиск #легенда #centurion1mk7 #amxm4 #amx50100 #amx50120","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> Карелия. Большое путешествие.Часть 3.Ладожские шхеры.Горный парк Рускеала.Озеро Янисъярви. <ОПИСАНИЕ:>Продолжение фильма о нашем большом путешествии в Карелию. В этой серии мы будем кататься по Ладожским шхерам, посетим горный парк Рускеала и остановимся на ночёвку на берегу озера Янисъярви. А ещё купим вкусную рыбу на рыбзаводе в Сортовала).","['O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'I-локация', 'O', 'B-локация', 'I-локация', 'I-локация', 'O', 'O', 'I-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'I-локация', 'O', 'O', 'O', 'O', 'I-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O']"
"<НАЗВАНИЕ:> Отправка Двигателя Audi A4 A5 A6 Q5 2.0 TFSI CAE из Москвы в Краснодар Мотор Ауди А4 А5 А6 Ку5 <ОПИСАНИЕ:><LINK> otpravka dvigatelya audi.html Отправка Двигателя Audi A4 A5 A6 Q5 2.0 TFSI со склада в Москве клиенту в Краснодар Модель: CAE Склад Контрактных Двигателей в Москве. По всем Вопросам +7 495 230 21 41 Склад в Москве +7 812 426 88 44 Склад в СПБ +7 861 212 30 10 Склада в Краснодаре По запросу на фотографии +7 926 023 54 54 (Viber, whats app) Полный список наших Магазинов и Представительств по РФ <LINK> otpravka dvigatelya audi.html","['O', 'O', 'O', 'O', 'O', 'O', 'B-бренд', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'O', 'I-модель', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'B-локация', 'O', 'B-бренд', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'O', 'I-модель', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-бренд', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'I-модель', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-локация', 'O', 'O', 'O', 'O']"
"<НАЗВАНИЕ:> ПКФ #31. Владимир Каштанов. 5 приоритет как фундамент более высоких приоритетов. Обсуждение доклада <ОПИСАНИЕ:>Обсуждение доклада на тридцать первом прикладном концептуальном форуме ""5 приоритет обобщенных средств управления обществом как фундамент для более высоких приоритетов"" <LINK>/ VK <LINK> Поддержать проект: <LINK> <LINK> <LINK> <LINK> <LINK> <LINK> или оформите спонсорство на нашем канале. Этим вы поможете дальнейшему развитию проекта! Подробнее: <LINK> Канал с материалами форума <LINK> Канал с материалами ВП СССР <LINK> Чат для высказывания новых идей, поиска соратников и обсуждений околоконцептуальных вопросов <LINK>","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-персона', 'I-персона', 'O', 'O', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'I-название проекта', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
